"NAME OF COMPANY","TOTAL NO. OF ISSUED SHARES A+B+C","TOTAL PROMOTER HOLDING NO. OF SHARES (A)","TOTAL PROMOTER HOLDING % A /(A+B+C)","TOTAL PUBLIC HOLDING (%)B","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER NO. OF SHARES (X)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF PROMOTER SHARES (X/A)","PROMOTER SHARES ENCUMBERED AS OF LAST QUARTER % OF TOTAL SHARES [X/(A+B+C)]","DISCLOSURE MADE BY PROMOTERS","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM NO. OF SHARES PLEDGED","NO. OF SHARES PLEDGED IN THE DEPOSITORY SYSTEM TOTAL NO. OF DEMAT SHARES","(%) PLEDGE / DEMAT"
"Shree Ganesh Forgings Limited","12500474","7165340","    57.32","5335134","0","     0.00","     0.00","23-Nov-2020 11:30:24","2547048","11137152","22.87"
"Shree Pushkar Chemicals & Fertilisers Limited","30836407","20507428","    66.50","10328979","0","     0.00","     0.00","23-Nov-2020 11:30:31","537580","30836402","1.74"
"Shree Rama Multi-Tech Limited","63468005","26982301","    42.51","36485704","0","     0.00","     0.00","23-Nov-2020 11:30:17","945120","58362896","1.62"
"Shree Rama Newsprint Limited","147522032","110290547","    74.76","37231485","0","     0.00","     0.00","23-Nov-2020 11:30:22","3922494","144986287","2.71"
"Shree Renuka Sugars Limited","2128489773","1329875232","    62.48","798614541","553407341","    41.61","    26.00","23-Nov-2020 11:30:21","26152745","2124397083","1.23"
"Shrenik Limited","102000000","75013000","    73.54","26987000","10427649","    13.90","    10.22","23-Nov-2020 11:30:31","73194136","612000000","11.96"
"Shreyans Industries Limited","13824550","6985219","    50.53","6839331","0","     0.00","     0.00","23-Nov-2020 11:30:09","257126","13341672","1.93"
"Shreyas Shipping & Logistics Limited","21957533","15137495","    68.94","6820038","0","     0.00","     0.00","23-Nov-2020 11:30:13","481079","21664207","2.22"
"Shri Lakshmi Cotsyn Limited","28470645","11180839","    39.27","17289806","6990240","    62.52","    24.55","23-Nov-2020 11:30:25","9709001","26691065","36.38"
"Shriram City Union Finance Limited","66002922","22813084","    34.56","43189838","0","     0.00","     0.00","23-Nov-2020 11:30:20","240143","65876271","0.36"
"Shriram EPC Limited","971529018","279391356","    28.76","692137662","180146496","    64.48","    18.54","23-Nov-2020 11:30:25","181202234","971527757","18.65"
"Shriram Transport Finance Company Limited","253061513","67021853","    26.48","186039660","0","     0.00","     0.00","23-Nov-2020 11:30:15","833676","250635772","0.33"
"Shyam Century Ferrous Limited","222172990","121053155","    54.49","101119835","0","     0.00","     0.00","23-Nov-2020 11:30:31","819159","221649603","0.37"
"Shyam Telecom Limited","11270000","7455875","    66.16","3814125","0","     0.00","     0.00","23-Nov-2020 11:30:23","46981","11249354","0.42"
"Sicagen India Limited","39571684","16536392","    41.79","23035292","0","     0.00","     0.00","23-Nov-2020 11:30:26","745231","38303201","1.95"
"Sical Logistics Limited","58520264","22523601","    38.49","35996663","14135000","    62.76","    24.15","23-Nov-2020 11:30:17","16881794","57239546","29.49"
"Siemens Limited","356120255","267089913","    75.00","89030342","0","     0.00","     0.00","23-Nov-2020 11:30:10","1385254","354035546","0.39"
"Simbhaoli Sugars Limited","41279020","22015790","    53.33","19263230","6632498","    30.13","    16.07","23-Nov-2020 11:30:31","8411668","40744592","20.64"
"Simplex Infrastructures Limited","57142820","28472048","    49.83","28670772","0","     0.00","     0.00","23-Nov-2020 11:30:10","1771501","56690365","3.12"
"Simplex Projects Limited","12600378","7088791","    56.26","5511587","2124839","    29.97","    16.86","23-Nov-2020 11:30:24","2344829","12600243","18.61"
"Sintercom India Limited","24202822","15876822","    65.60","8326000","200000","     1.26","     0.83","23-Nov-2020 11:30:32","1889464","24202822","7.81"
"Sintex Industries Limited","594095088","27181127","     4.58","566913961","0","     0.00","     0.00","23-Nov-2020 11:30:17","27266372","591951527","4.61"
"Sintex Plastics Technology Limited","631028422","77714461","    12.32","553313961","15100000","    19.43","     2.39","23-Nov-2020 11:30:31","47803753","628507825","7.61"
"Sita Shree Food Products Limited","27834174","6370929","    22.89","21463245","6050516","    94.97","    21.74","23-Nov-2020 11:30:26","6324739","26681676","23.7"
"Siti Networks Limited","872053848","327332717","    37.54","544721131","274110352","    83.74","    31.43","23-Nov-2020 11:30:23","38520023","871717322","4.42"
"Siyaram Silk Mills Limited","46870080","31494343","    67.19","15375737","0","     0.00","     0.00","23-Nov-2020 11:30:12","798398","46071323","1.73"
"Smartlink Holdings Limited","13300000","9918473","    74.57","3381527","0","     0.00","     0.00","23-Nov-2020 11:30:18","141334","13288491","1.06"
"Snowman Logistics Limited","167087995","67254119","    40.25","99833876","0","     0.00","     0.00","23-Nov-2020 11:30:30","5221630","167087839","3.13"
"Sobha Limited","94845853","49307663","    51.99","45538190","10000000","    20.28","    10.54","23-Nov-2020 11:30:23","11240374","94845780","11.85"
"Solar Industries India Limited","90490055","66191271","    73.15","24298784","0","     0.00","     0.00","23-Nov-2020 11:30:22","515511","90490000","0.57"
"Solara Active Pharma Sciences Limited","35823267","15847370","    44.24","19975897","752000","     4.75","     2.10","23-Nov-2020 11:30:32","2856520","35883242","7.96"
"Soma Textiles & Industries Limited","33033000","21035017","    63.68","11997983","2500000","    11.88","     7.57","23-Nov-2020 11:30:15","2748798","32526554","8.45"
"Somany Ceramics Limited","42379426","23180875","    54.70","19198551","0","     0.00","     0.00","23-Nov-2020 11:30:11","749681","42098306","1.78"
"Sonata Software Limited","105159306","30874575","    29.36","74284731","0","     0.00","     0.00","23-Nov-2020 11:30:17","3779135","104348425","3.62"
"Southern Petrochemicals Industries Corporation  Limited","203640336","115437288","    56.69","88203048","0","     0.00","     0.00","23-Nov-2020 11:30:07","2138487","199766045","1.07"
"Speciality Restaurants Limited","46957657","24040057","    51.20","22917600","0","     0.00","     0.00","23-Nov-2020 11:30:29","973857","46957606","2.07"
"Spentex Industries Limited","89772035","37797226","    42.10","51974809","37797226","   100.00","    42.10","23-Nov-2020 11:30:15","38177484","88688162","43.05"
"Splendid Metal Products Limited","301010881","173304755","    57.57","127706126","173304748","   100.00","    57.57","23-Nov-2020 11:30:27","174201345","300355678","58"
"Sree Rayalaseema Hi-Strength Hypo Limited","17164821","10658385","    62.09","6506436","0","     0.00","     0.00","23-Nov-2020 11:30:24","114121","14600032","0.78"
"Sreeleathers Limited","25155012","16738824","    66.54","8416188","0","     0.00","     0.00","23-Nov-2020 11:30:30","1231921","25084093","4.91"
"Sri Adhikari Brothers Television Network Limited","34944500","7731845","    22.13","27212655","6565800","    84.92","    18.79","23-Nov-2020 11:30:25","12598642","34918075","36.08"
"Srikalahasthi Pipes Limited","46698407","22483513","    48.15","24214894","7004903","    31.16","    15.00","23-Nov-2020 11:30:10","9792534","46287198","21.16"
"Stampede Capital Limited","229011200","582071","     0.25","228429129","0","     0.00","     0.00","23-Nov-2020 11:30:31","13033203","228457140","5.7"
"Standard Industries Limited","64328941","12962042","    20.15","51366899","0","     0.00","     0.00","23-Nov-2020 11:30:19","2724479","37831835","7.2"
"Star Cement Limited","412428997","277032631","    67.17","135396366","0","     0.00","     0.00","23-Nov-2020 11:30:31","1867817","411574963","0.45"
"Star Paper Mills Limited","15608350","7050444","    45.17","8557906","3348858","    47.50","    21.46","23-Nov-2020 11:30:15","4106411","15512704","26.47"
"State Bank Of India","8924611534","5190324438","    58.16","3734287096",,,,"23-Nov-2020 11:30:07","49597629","8848390891","0.56"
"Steel Authority of India Limited","4130525289","3097878439","    75.00","1032646850","0","     0.00","     0.00","23-Nov-2020 11:30:11","55341561","4126733711","1.34"
"Steel Strips Wheels Limited","15589720","9797952","    62.85","5791768","4520833","    46.14","    29.00","23-Nov-2020 11:30:20","4707656","15373991","30.62"
"Stel Holdings Limited","18455405","10166086","    55.08","8289319","0","     0.00","     0.00","23-Nov-2020 11:30:28","234238","17651110","1.33"
"Sterling And Wilson Solar Limited","160360000","123826180","    77.22","36533820","59718766","    48.23","    37.24","23-Nov-2020 11:30:32","63330845","160360000","39.49"
"Sterling Biotech Limited","272170388","67059864","    24.64","205110524","41768693","    62.29","    15.35","23-Nov-2020 11:30:04","48194901","264321515","18.23"
"Sterling Tools Limited","36024211","23693030","    65.77","12331181","0","     0.00","     0.00","23-Nov-2020 11:30:15","126493","35923114","0.35"
"Sterlite Technologies Limited","395689453","216664221","    54.76","179025232","0","     0.00","     0.00","23-Nov-2020 11:30:18","15924086","392796659","4.05"
"Strides Pharma Science Limited","89625664","26610081","    29.69","63015583","9856712","    37.04","    11.00","23-Nov-2020 11:30:17","14650506","89500393","16.37"
"Subros Limited","65235750","24000000","    36.79","41235750","0","     0.00","     0.00","23-Nov-2020 11:30:10","772983","62368667","1.24"
"Sudarshan Chemical Industries Limited","69227250","29530529","    42.66","39696721","0","     0.00","     0.00","23-Nov-2020 11:30:14","2513903","67629905","3.72"
"Sujana Universal Industries Limited","168825972","44898335","    26.59","123927637","0","     0.00","     0.00","23-Nov-2020 11:30:25","2712085","167392686","1.62"
"Sumeet Industries Limited","103642389","22459291","    21.67","81183098","9493750","    42.27","     9.16","23-Nov-2020 11:30:28","7784852","101293735","7.69"
"Summit Securities Limited","10901781","8137866","    74.65","2763915","0","     0.00","     0.00","23-Nov-2020 11:30:28","79991","10809094","0.74"
"Sun Pharma Advanced Research Company Limited","262047506","179407230","    68.46","82640276","3400000","     1.90","     1.30","23-Nov-2020 11:30:24","19589018","261295665","7.5"
"Sun Pharmaceutical Industries Limited","2399334970","1312134535","    54.69","1087200435","119281942","     9.09","     4.97","23-Nov-2020 11:30:09","191078568","2391323453","7.99"
"Sun TV Network Limited","394084620","295563457","    75.00","98521163","464000","     0.16","     0.12","23-Nov-2020 11:30:22","3740446","394084172","0.95"
"Sundaram Brake Linings Limited","3934575","2578784","    65.54","1355791","0","     0.00","     0.00","23-Nov-2020 11:30:15","42048","3846335","1.09"
"Sundaram Clayton Limited","20232085","15174060","    75.00","5058025","0","     0.00","     0.00","23-Nov-2020 11:30:30","110792","20125474","0.55"
"Sundaram Finance Limited","111103860","40839679","    36.76","70264181","0","     0.00","     0.00","23-Nov-2020 11:30:07","1081855","107845032","1"
"Sundaram Multi Pap Limited","473877773","147139585","    31.05","326738188","3272000","     2.22","     0.69","23-Nov-2020 11:30:27","20129752","473059379","4.26"
"Sundram Fasteners Limited","210128370","104085280","    49.53","106043090","0","     0.00","     0.00","23-Nov-2020 11:30:04","1292595","207562523","0.62"
"Sunflag Iron And Steel Company Limited","180219448","92194826","    51.16","88024622","0","     0.00","     0.00","23-Nov-2020 11:30:10","3455283","111187982","3.11"
"Sunil Hitech Engineers Limited","461303200","155883560","    33.79","305419640","14996660","     9.62","     3.25","23-Nov-2020 11:30:21","4480844","426538130","1.05"
"Sunteck Realty Limited","146371879","98306095","    67.16","48065784","0","     0.00","     0.00","23-Nov-2020 11:30:26","2162851","146371869","1.48"
"Super Spinning Mills Limited","55000000","23371234","    42.49","31628766","0","     0.00","     0.00","23-Nov-2020 11:30:04","1081518","53898457","2.01"
"Superhouse Limited","11025000","6050874","    54.88","4974126","0","     0.00","     0.00","23-Nov-2020 11:30:30","100314","10003463","1"
"Suprajit Engineering Limited","139872473","62339220","    44.57","77533253","0","     0.00","     0.00","23-Nov-2020 11:30:20","1511825","135205699","1.12"
"Supreme Industries Limited","127026870","62053813","    48.85","64973057","0","     0.00","     0.00","23-Nov-2020 11:30:08","1451491","125652165","1.16"
"Supreme Infrastructure India Limited","25698372","8913074","    34.68","16785298","7565005","    84.88","    29.44","23-Nov-2020 11:30:25","8370041","25698361","32.57"
"Supreme Petrochem Limited","94020671","60133600","    63.96","33887071","0","     0.00","     0.00","23-Nov-2020 11:30:08","1315089","91936096","1.43"
"Surana Corporation Limited","24358734","12248026","    50.28","12110708","12216713","    99.74","    50.15","23-Nov-2020 11:30:26","12258630","20102568","60.98"
"Surana Telecom and Power Limited","135759963","101819241","    75.00","33940722","0","     0.00","     0.00","23-Nov-2020 11:30:19","511648","133080556","0.38"
"Surya Roshni Limited","54408974","34917194","    64.18","19491780","3101955","     8.88","     5.70","23-Nov-2020 11:30:14","5279068","54014980","9.77"
"Suryalakshmi Cotton Mills Limited","16672290","9326889","    55.94","7345401","1390665","    14.91","     8.34","23-Nov-2020 11:30:20","1508812","16598948","9.09"
"Sutlej Textiles and Industries Limited","163828620","104678660","    63.90","59149960","3000000","     2.87","     1.83","23-Nov-2020 11:30:23","6482664","162861790","3.98"
"Suven Life Sciences Limited","127282478","76370000","    60.00","50912478","0","     0.00","     0.00","23-Nov-2020 11:30:18","3071131","126859847","2.42"
"Suzlon Energy Limited","8225523053","1460861456","    17.76","6764661597","1293506832","    88.54","    15.73","23-Nov-2020 11:30:21","1446433904","8304003343","17.42"
"Swan Energy Limited","244257000","158500000","    64.89","85757000","25321385","    15.98","    10.37","23-Nov-2020 11:30:29","35556097","243264600","14.62"
"Swaraj Engines Limited","12134330","6331141","    52.18","5803189","0","     0.00","     0.00","23-Nov-2020 11:30:15","219276","12072798","1.82"
"Swelect Energy Systems Limited","15158760","8544318","    56.37","6614442","0","     0.00","     0.00","23-Nov-2020 11:30:22","188473","15083842","1.25"
"Symphony Limited","69957000","52467740","    75.00","17489260","0","     0.00","     0.00","23-Nov-2020 11:30:28","703357","69357550","1.01"
"Syncom Healthcare Limited","40000000","50200","     0.13","39949800","0","     0.00","     0.00","23-Nov-2020 11:30:27","3472492","39998880","8.68"
"T T Limited","21498050","12436679","    57.85","9061371","0","     0.00","     0.00","23-Nov-2020 11:30:23","71080","20227023","0.35"
"TATA CONSUMER PRODUCTS LIMITED","921551715","320028112","    34.73","601523603","8672150","     2.71","     0.94","23-Nov-2020 11:30:13","27390065","907794372","3.02"
"TCI Developers Limited","3729431","2790420","    74.82","939011","0","     0.00","     0.00","23-Nov-2020 11:30:28","9116","3691079","0.25"
"TCPL Packaging Limited","9100000","5071974","    55.74","4028026","0","     0.00","     0.00","23-Nov-2020 11:30:32","190583","8867244","2.15"
"TD Power Systems Limited","30933414","18504602","    59.82","12428812","0","     0.00","     0.00","23-Nov-2020 11:30:29","337582","30933412","1.09"
"TECIL Chemicals and Hydro Power Limited","18963700","9047582","    47.71","9916118","0","     0.00","     0.00","23-Nov-2020 11:30:10",,,
"TGB Banquets And Hotels Limited","29286400","9286835","    31.71","19999565","6197400","    66.73","    21.16","23-Nov-2020 11:30:24","6404437","29286395","21.87"
"TIL Limited","10030265","5646798","    56.30","4383467","0","     0.00","     0.00","23-Nov-2020 11:30:10","179839","9885609","1.82"
"TIPS Industries Limited","12968659","9771352","    75.35","3197307","0","     0.00","     0.00","23-Nov-2020 11:30:18","210647","12953051","1.63"
"TREJHARA SOLUTIONS LIMITED","11816298","3205611","    27.13","8610687","1454999","    45.39","    12.31","23-Nov-2020 11:30:32","1747634","11467894","15.24"
"TRF Limited","11004412","3755235","    34.12","7249177","0","     0.00","     0.00","23-Nov-2020 11:30:27","554770","10520096","5.27"
"TTK Prestige Limited","13861402","9759607","    70.41","4101795",,,,"23-Nov-2020 11:30:15","30591","13735926","0.22"
"TV Today Network Limited","59668615","34879096","    58.45","24789519","0","     0.00","     0.00","23-Nov-2020 11:30:19","1014638","59663217","1.7"
"TV Vision Limited","34944500","10383845","    29.72","24560655","6118000","    58.92","    17.51","23-Nov-2020 11:30:31","12285429","34899576","35.2"
"TV18 Broadcast Limited","1714360160","1035520105","    60.40","678840055","0","     0.00","     0.00","23-Nov-2020 11:30:23","128275318","1714128228","7.48"
"TVS Electronics Limited","18650318","11160093","    59.84","7490225","0","     0.00","     0.00","23-Nov-2020 11:30:19","397759","18257246","2.18"
"TVS Motor Company Limited","475087114","272682786","    57.40","202404328","0","     0.00","     0.00","23-Nov-2020 11:30:18","2875893","472103689","0.61"
"TVS Srichakra Limited","7657050","3473561","    45.36","4183489","0","     0.00","     0.00","23-Nov-2020 11:30:15","390024","7240050","5.39"
"Tainwala Chemical and Plastic (I) Limited","9363863","6279767","    67.06","3084096","0","     0.00","     0.00","23-Nov-2020 11:30:10","167542","8770486","1.91"
"Taj GVK Hotels & Resorts Limited","62701495","47018206","    74.99","15683289","0","     0.00","     0.00","23-Nov-2020 11:30:18","578948","62203277","0.93"
"Take Solutions Limited","147934000","79011371","    53.41","68922629","0","     0.00","     0.00","23-Nov-2020 11:30:24","4161255","147299946","2.83"
"Talbros Automotive Components Limited","12345630","7180037","    58.16","5165593","0","     0.00","     0.00","23-Nov-2020 11:30:22","164670","12143582","1.36"
"Talwalkars Better Value Fitness Limited","31004906","11933415","    38.49","19071491","8997000","    75.39","    29.02","23-Nov-2020 11:30:27","8002163","30998557","25.81"
"Talwalkars Healthclubs Limited","31004856","11537234","    37.21","19467622","9027000","    78.24","    29.11","23-Nov-2020 11:30:32","8045224","30991792","25.96"
"Tamil Nadu Newsprint & Papers Limited","69210600","24444900","    35.32","44765700",,,,"23-Nov-2020 11:30:15","4061422","68335596","5.94"
"Tamilnadu PetroProducts Limited","89971474","31078126","    34.54","58893348","0","     0.00","     0.00","23-Nov-2020 11:30:15","5626584","84047934","6.69"
"Tamilnadu Telecommunication Limited","45681000","29067700","    63.63","16613300","0","     0.00","     0.00","23-Nov-2020 11:30:13","37626","11181270","0.34"
"Tanla Platforms Limited","136036450","54305422","    39.92","81731028","0","     0.00","     0.00","23-Nov-2020 11:30:23","5241564","135790029","3.86"
"Tantia Constructions Limited","28742098","20947530","    72.88","7794568","11028498","    52.65","    38.37","23-Nov-2020 11:30:25","11124750","18810407","59.14"
"Tara Jewels Limited","24622850","2293618","     9.31","22329232","2243800","    97.83","     9.11","23-Nov-2020 11:30:30","2409401","24426076","9.86"
"Tarapur Transformers Limited","19500011","8703036","    44.63","10796975","8416460","    96.71","    43.16","23-Nov-2020 11:30:27","8484114","19499706","43.51"
"Tarmat Limited","13330707","5771551","    43.30","7559156","0","     0.00","     0.00","23-Nov-2020 11:30:24","361449","13330388","2.71"
"Tata Chemicals Limited","254756278","90355755","    35.47","164400523","0","     0.00","     0.00","23-Nov-2020 11:30:08","3866044","250217537","1.55"
"Tata Coffee Limited","186770370","107359820","    57.48","79410550","0","     0.00","     0.00","23-Nov-2020 11:30:13","5177427","183459510","2.82"
"Tata Communications Limited","285000000","213707378","    74.99","71292622","8325000","     3.90","     2.92","23-Nov-2020 11:30:11","11906372","284906643","4.18"
"Tata Consultancy Services Limited","3752384706","2703542000","    72.05","1048842706","79604930","     2.94","     2.12","23-Nov-2020 11:30:20","90479940","3751133118","2.41"
"Tata Elxsi Limited","62276440","27730264","    44.53","34546176","0","     0.00","     0.00","23-Nov-2020 11:30:09","2178657","60441176","3.6"
"Tata Investment Corporation Limited","50595296","37128947","    73.38","13466349","0","     0.00","     0.00","23-Nov-2020 11:30:14","456695","50274911","0.91"
"Tata Metaliks Limited","31577500","18957090","    60.03","12620410","0","     0.00","     0.00","23-Nov-2020 11:30:09","505631","30359486","1.67"
"Tata Motors Limited","508502896","36800118","     7.24","471702778","0","     0.00","     0.00","23-Nov-2020 11:30:26","36345547","508372596","7.15"
"Tata Motors Limited","3088973894","1309551138","    42.39","1779422756","51729000","     3.95","     1.67","23-Nov-2020 11:30:06","97846933","3069032986","3.19"
"Tata Power Company Limited","3195339547","1497257565","    46.86","1698081982","38771375","     2.59","     1.21","23-Nov-2020 11:30:10","72417654","3156557801","2.29"
"Tata Steel Bsl Limited","1093439768","794428986","    72.65","299010782","0","     0.00","     0.00","23-Nov-2020 11:30:09","51798559","1092889835","4.74"
"Tata Steel Limited","1204126999","414358657","    34.41","789768342","13980000","     3.37","     1.16","23-Nov-2020 11:30:07","29121278","1111588182","2.62"
"Tata Steel Long Products Limited","45100000","34237521","    75.91","10862479","0","     0.00","     0.00","23-Nov-2020 11:30:14","580560","44607127","1.3"
"Tata Teleservices (Maharashtra) Limited","1954927727","1453672327","    74.36","501255400","0","     0.00","     0.00","23-Nov-2020 11:30:18","14664806","1952227922","0.75"
"Tci Finance Limited","12872493","3182360","    24.72","9690133","0","     0.00","     0.00","23-Nov-2020 11:30:16","439127","11810673","3.72"
"Teamlease Services Limited","17096769","6859487","    40.12","10237282","84050","     1.23","     0.49","23-Nov-2020 11:30:31","112081","17095718","0.66"
"Tech Mahindra Limited","966598935","346291457","    35.83","620307478","0","     0.00","     0.00","23-Nov-2020 11:30:22","8013313","965220835","0.83"
"Techindia Nirman Limited","14326000","4860313","    33.93","9465687","0","     0.00","     0.00","23-Nov-2020 11:30:29","315178","13429911","2.35"
"Technocraft Industries (India) Limited","24461687","18267348","    74.68","6194339","0","     0.00","     0.00","23-Nov-2020 11:30:23","302647","24459951","1.24"
"Technofab Engineering Limited","10490000","5058026","    48.22","5431974","1221405","    24.15","    11.64","23-Nov-2020 11:30:27","1258963","10489993","12"
"Tera Software Limited","12511875","6010651","    48.04","6501224","3082420","    51.28","    24.64","23-Nov-2020 11:30:31","2997789","12449159","24.08"
"Texmaco Infrastructure & Holdings Limited","127426590","82553786","    64.79","44872804","738800","     0.89","     0.58","23-Nov-2020 11:30:20","1953173","126715561","1.54"
"Texmaco Rail & Engineering Limited","224859382","115927010","    51.56","108932372","738800","     0.64","     0.33","23-Nov-2020 11:30:28","14130785","224018349","6.31"
"Texmo Pipes and Products Limited","26320000","10039955","    38.15","16280045","0","     0.00","     0.00","23-Nov-2020 11:30:27","441778","26319884","1.68"
"Thangamayil Jewellery Limited","13719582","9468110","    69.01","4251472","1351780","    14.28","     9.85","23-Nov-2020 11:30:27","1608397","13719582","11.72"
"The Andhra Sugars Limited","27107078","12749407","    47.03","14357671","286624","     2.25","     1.06","23-Nov-2020 11:30:15","2256009","14591400","15.46"
"The Anup Engineering Limited","10208259","4253215","    41.66","5955044","0","     0.00","     0.00","23-Nov-2020 11:30:32","338410","10000325","3.38"
"The Byke Hospitality Ltd","40097800","18788282","    46.86","21309518","0","     0.00","     0.00","23-Nov-2020 11:30:31","2314119","39420478","5.87"
"The Federal Bank  Limited","1994674957","31732891","     1.59","1962942066","0","     0.00","     0.00","23-Nov-2020 11:30:08","111203600","1974573994","5.63"
"The Great Eastern Shipping Company Limited","146966484","43336248","    29.49","103630236","0","     0.00","     0.00","23-Nov-2020 11:30:23","2279948","144638942","1.58"
"The Hi-Tech Gears Limited","18768000","10438892","    55.62","8329108","0","     0.00","     0.00","23-Nov-2020 11:30:15","160242","18696296","0.86"
"The India Cements Limited","309897201","88162810","    28.45","221734391","23800000","    27.00","     7.68","23-Nov-2020 11:30:08","40220424","308931398","13.02"
"The Indian Hotels Company Limited","1189258445","484642250","    40.75","704616195","0","     0.00","     0.00","23-Nov-2020 11:30:13","10688218","1178652462","0.91"
"The Jammu & Kashmir Bank Limited","713450938","486425578","    68.18","227025360","0","     0.00","     0.00","23-Nov-2020 11:30:16","22039800","700525812","3.15"
"The Karnataka Bank Limited","310869689","0","     0.00","310869689","0",,"     0.00","23-Nov-2020 11:30:17","48741901","296210689","16.46"
"The Mandhana Retail Ventures Limited","22082609","6252318","    28.31","15830291","3240485","    51.83","    14.67","23-Nov-2020 11:30:31","1113574","22081095","5.04"
"The Motor & General Finance Limited","38727190","25998644","    67.13","12728546","0","     0.00","     0.00","23-Nov-2020 11:30:08","77220","36764368","0.21"
"The Orissa Minerals Development Company Limited","6000000","3000890","    50.01","2999110","0","     0.00","     0.00","23-Nov-2020 11:30:28","392900","5795040","6.78"
"The Phoenix Mills Limited","171683651","78214487","    45.56","93469164","0","     0.00","     0.00","23-Nov-2020 11:30:24","672785","171402154","0.39"
"The Ramco Cements Limited","235799277","100507560","    42.62","135291717","11532625","    11.47","     4.89","23-Nov-2020 11:30:08","3278060","225575369","1.45"
"The Ruby Mills Limited","16720000","12523420","    74.90","4196580","0","     0.00","     0.00","23-Nov-2020 11:30:11","162368","16667396","0.97"
"The Sandesh Limited","7569421","5663017","    74.81","1906404","0","     0.00","     0.00","23-Nov-2020 11:30:09","123208","7501609","1.64"
"The South Indian Bank Limited","1809722151","0","     0.00","1809722151","0",,"     0.00","23-Nov-2020 11:30:16","167526660","1735215524","9.65"
"The State Trading Corporation of India Limited","60000000","54000000","    90.00","6000000","0","     0.00","     0.00","23-Nov-2020 11:30:17","313910","59991117","0.52"
"The Tinplate Company of India Limited","104667638","78457640","    74.96","26209998","0","     0.00","     0.00","23-Nov-2020 11:30:03","2158777","103879516","2.08"
"The Ugar Sugar Works Limited","112500000","50878086","    45.22","61621914","0","     0.00","     0.00","23-Nov-2020 11:30:28","2163145","94139878","2.3"
"The United Nilgiri Tea Estates Company Limited","4996566","2487982","    49.79","2508584","0","     0.00","     0.00","23-Nov-2020 11:30:27","19743","4387982","0.45"
"The Western India Plywoods Limited","8487340","3478121","    40.98","5009219","349760","    10.06","     4.12","23-Nov-2020 11:30:31","123000","4086033","3.01"
"Themis Medicare Limited","9187992","6180399","    67.27","3007593","0","     0.00","     0.00","23-Nov-2020 11:30:24","79626","9053446","0.88"
"Thermax Limited","119156300","80396745","    67.47","38759555","0","     0.00","     0.00","23-Nov-2020 11:30:02","207116","118922890","0.17"
"Thiru Arooran Sugars Limited","11316724","6661939","    58.87","4654785","4425674","    66.43","    39.11","23-Nov-2020 11:30:14","4576466","10993779","41.63"
"Thirumalai Chemicals Limited","102388120","42856321","    41.86","59531799","0","     0.00","     0.00","23-Nov-2020 11:30:09","4499960","100613240","4.47"
"Thomas Cook  (India)  Limited","378275489","255509847","    67.55","122765642","0","     0.00","     0.00","23-Nov-2020 11:30:10","2769481","376020841","0.74"
"Thomas Scott (India) Limited","3390000","2306195","    68.03","1083805","0","     0.00","     0.00","23-Nov-2020 11:30:29","8557","3332132","0.26"
"Tide Water Oil Company (India) Limited","3484800","2081884","    59.74","1402916","0","     0.00","     0.00","23-Nov-2020 11:30:23","94565","3471050","2.72"
"Tijaria Polypipes Limited","28626579","18626172","    65.07","10000407","7087974","    38.05","    24.76","23-Nov-2020 11:30:29","7574325","28626559","26.46"
"Tilaknagar Industries Limited","125133765","68571668","    54.80","56562097","62550000","    91.22","    49.99","23-Nov-2020 11:30:27","65758361","124035544","53.02"
"Time Technoplast Limited","226146750","116088694","    51.33","110058056","40350000","    34.76","    17.84","23-Nov-2020 11:30:24","46023949","226141234","20.35"
"Times Guaranty Limited","8993149","6737399","    74.92","2255750","0","     0.00","     0.00","23-Nov-2020 11:30:19","22525","8066057","0.28"
"Timken India Limited","75218734","50999988","    67.80","24218746","0","     0.00","     0.00","23-Nov-2020 11:30:14","827132","73948280","1.12"
"Tirupati Forge Limited","11200000","6439680","    57.50","4760320","3096000","    48.08","    27.64","23-Nov-2020 11:30:32","3434328","11200000","30.66"
"Titagarh Wagons Limited","115606170","52836540","    45.70","62769630","0","     0.00","     0.00","23-Nov-2020 11:30:26","5114203","115497750","4.43"
"Titan Company Limited","887786160","469601920","    52.90","418184240","0","     0.00","     0.00","23-Nov-2020 11:30:07","38950729","877773201","4.44"
"Tokyo Plast International Limited","9501400","5816346","    61.22","3685054","0","     0.00","     0.00","23-Nov-2020 11:30:11","100527","8720350","1.15"
"Torrent Pharmaceuticals Limited","169222720","120564720","    71.25","48658000","0","     0.00","     0.00","23-Nov-2020 11:30:08","483257","168744490","0.29"
"Torrent Power Limited","480616784","257443318","    53.57","223173466","0","     0.00","     0.00","23-Nov-2020 11:30:23","1835559","468298470","0.39"
"Tourism Finance Corporation of India Limited","80716748","21991903","    27.25","58724845","0","     0.00","     0.00","23-Nov-2020 11:30:13","11520412","79370421","14.51"
"Transformers And Rectifiers (India) Limited","132564110","99299150","    74.91","33264960","22100000","    22.26","    16.67","23-Nov-2020 11:30:25","23830845","132564030","17.98"
