"SYMBOL","COMPANY","NAME(S) OF THE ACQUIRER AND ITS (PAC)","DATE OF ACQUISITION / SALE OF SHARES / VR / DATE OF RECEIPT OF INTIMATION OF","TOTAL ACQUISTION (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ ANY OTHER INSTRUMENT)","TOTAL SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","TOTAL AFTER ACQUISITION/SALE (SHARES/VOTING RIGHTS/WARRANTS/ CONVERTIBLE SECURITIES/ANY OTHER INSTRUMENT)","REGULATION","BROADCAST DATE/ TIME"
"CONSOFINVT","Consolidated Finvest & Holdings Limited","Aakrti Trust","19-OCT-2020 to 19-OCT-2020",,"1186753","0","Reg29(2)","20-Oct-2020, 18-36"
"CONSOFINVT","Consolidated Finvest & Holdings Limited","SSJ Trust","19-OCT-2020 to 19-OCT-2020","1187753",,"1398273","Reg29(2)","20-Oct-2020, 18-34"
"JPOLYINVST","Jindal Poly Investment and Finance Company Limited","SSJ Trust","19-OCT-2020 to 19-OCT-2020","112500",,"298300","Reg29(1)","20-Oct-2020, 18-34"
"HFCL","HFCL Limited","MN Ventures Private Limited","20-OCT-2020 to 20-OCT-2020","1000000",,"270390000","Reg29(2)","20-Oct-2020, 18-32"
"SOLARA","Solara Active Pharma Sciences Limited","SBI Mutual Fund under its various schemes","16-OCT-2020 to 16-OCT-2020",,,"1278217","Reg29(2)","20-Oct-2020, 18-30"
"CYIENT","Cyient Limited","Mitsubishi UFJ Financial Group alongwith PAC","16-OCT-2020 to 16-OCT-2020",,"2307113","6261031","Reg29(2)","20-Oct-2020, 17-18"
"EICHERMOT","Eicher Motors Limited","UBS Principal Capital Asia LTD","16-OCT-2020 to 16-OCT-2020","26770",,"13675784","Reg29(1)","20-Oct-2020, 16-22"
"JINDALPHOT","Jindal Photo Limited","SSJ Trust","19-OCT-2020 to 19-OCT-2020","38501",,"92981","Reg29(1)","20-Oct-2020, 15-30"
"RUSHIL","Rushil Decor Limited","Krupaben Krupeshbhai Thakkar","15-OCT-2020 to 15-OCT-2020","124460",,"124460","Reg29(2)","20-Oct-2020, 11-14"
"RUSHIL","Rushil Decor Limited","Rushil Krupeshbhai Thakkar","15-OCT-2020 to 15-OCT-2020","91896",,"91896","Reg29(2)","20-Oct-2020, 11-14"
"RUSHIL","Rushil Decor Limited","Krupeshbhai Ghanshyambhai Thakkar Karta of Krupeshbhai  Ghanshyambhai  Thakkar HUF","15-OCT-2020 to 15-OCT-2020","612441",,"612441","Reg29(2)","20-Oct-2020, 11-12"
"RUSHIL","Rushil Decor Limited","Krupeshbhai G Thakkar and Ghanshyambhai A Thakkar  Representing  Rushil  International Partnership Firm","15-OCT-2020 to 15-OCT-2020","813437",,"813437","Reg29(2)","20-Oct-2020, 11-06"
"RUSHIL","Rushil Decor Limited","Krupeshbhai Ghanshyambhai Thakkar","15-OCT-2020 to 15-OCT-2020","875201",,"875201","Reg29(2)","20-Oct-2020, 11-04"
"RUSHIL","Rushil Decor Limited","Ghanshyambhai Ambalal Thakkar","15-OCT-2020 to 15-OCT-2020","877398",,"877398","Reg29(2)","20-Oct-2020, 11-02"
"RUSHIL","Rushil Decor Limited","Dinuben Ghanshyambhai Thakkar","15-OCT-2020 to 15-OCT-2020","108638",,"108638","Reg29(2)","20-Oct-2020, 11-02"
"XELPMOC","Xelpmoc Design And Tech Limited","University of Notre Dame du Lac","07-OCT-2020 to 16-OCT-2020",,"155161","648639","Reg29(2)","20-Oct-2020, 09-42"
"HFCL","HFCL Limited","MN Ventures Private Limited","19-OCT-2020 to 19-OCT-2020","1000000",,"269390000","Reg29(2)","19-Oct-2020, 23-18"
"ZEEL","Zee Entertainment Enterprises Limited","Sprucegrove Investment Management Ltd","14-OCT-2020 to 14-OCT-2020","1757700",,"71491966","Reg29(1)","19-Oct-2020, 16-58"
"CARERATING","CARE Ratings Limited","L&T Mutual Fund","15-OCT-2020 to 15-OCT-2020",,"588571","936219","Reg29(2)","16-Oct-2020, 22-12"
"HFCL","HFCL Limited","MN Ventures Private Limited","16-OCT-2020 to 16-OCT-2020","2500000",,"268390000","Reg29(2)","16-Oct-2020, 18-46"
"SANGAMIND","Sangam (India) Limited","Sangam E-com Limited","26-AUG-2019 to 26-AUG-2019","1182817",,"7933087","Reg29(2)","16-Oct-2020, 18-44"
"SANGAMIND","Sangam (India) Limited","Sangam E Com Limited","28-AUG-2019 to 28-AUG-2019",,"60000","7873087","Reg29(2)","16-Oct-2020, 18-44"
"SANGAMIND","Sangam (India) Limited","Sangam Business Credit Limited","26-AUG-2019 to 26-AUG-2019",,"1182812","0","Reg29(2)","16-Oct-2020, 18-42"
"SANGAMIND","Sangam (India) Limited","Sangam E-com Limited","20-AUG-2019 to 21-AUG-2019","4799995",,"6750270","Reg29(2)","16-Oct-2020, 18-42"
"SANGAMIND","Sangam (India) Limited","Sangam Business Credit Limited","20-AUG-2019 to 20-AUG-2019",,"4800000","1182812","Reg29(2)","16-Oct-2020, 18-40"
"TVSMOTOR","TVS Motor Company Limited","Life Insurance Corporation of India","16-JUL-2020 to 15-OCT-2020","9632624",,"25487944","Reg29(2)","16-Oct-2020, 18-38"
"SIEMENS","Siemens Limited","Life Insurance Corporation of India","18-JAN-2020 to 14-OCT-2020","7127028",,"25623599","Reg29(2)","16-Oct-2020, 16-08"
"GAYAPROJ","Gayatri Projects Limited","Grantham Mayo Van Otterloo and Co LLC","13-OCT-2020 to 13-OCT-2020",,"7500000","17203185","Reg29(2)","16-Oct-2020, 09-28"
"ZEELEARN","Zee Learn Limited","IDBI Trusteeship Services Limited","13-OCT-2020 to 13-OCT-2020",,"0","37440000","Reg29(2)","16-Oct-2020, 09-26"
"ZEEMEDIA","Zee Media Corporation Limited","IDBI Trusteeship Services Limited","13-OCT-2020 to 13-OCT-2020",,,"69690000","Reg29(2)","16-Oct-2020, 09-24"
"ZEEMEDIA","Zee Media Corporation Limited","ARM Infra & Utilities Private Limited","13-OCT-2020 to 13-OCT-2020",,"2300000","55133103","Reg29(2)","16-Oct-2020, 09-22"
"ZEEMEDIA","Zee Media Corporation Limited","25FPS Media Private Limited","13-OCT-2020 to 13-OCT-2020",,"8700000","55546279","Reg29(2)","16-Oct-2020, 09-16"
"HFCL","HFCL Limited","MN Ventures Private Limited","15-OCT-2020 to 15-OCT-2020","2500000",,"265890000","Reg29(2)","15-Oct-2020, 20-22"
"TCI","Transport Corporation of India Limited","HDFC Mutual Fund","14-OCT-2020 to 14-OCT-2020","980000",,"4391399","Reg29(1)","15-Oct-2020, 20-22"
"VEDL","Vedanta Limited","J.P. Morgan AG For andon behalf of the Finance Parties","13-OCT-2020 to 13-OCT-2020",,"1863458132","0","Reg29(2)","15-Oct-2020, 20-20"
"VEDL","Vedanta Limited","Citicorp International Limited","13-OCT-2020 to 13-OCT-2020",,"1863458132","0","Reg29(2)","15-Oct-2020, 20-20"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Limited","15-OCT-2020 to 15-OCT-2020",,,"7992814","Reg29(2)","15-Oct-2020, 20-14"
"TCI","Transport Corporation of India Limited","HDFC Mutual Fund","14-OCT-2020 to 14-OCT-2020","980000",,"4391399","Reg29(1)","15-Oct-2020, 18-28"
"GMRINFRA","GMR Infrastructure Limited","Vistra ITCL (India) Limited","14-OCT-2020 to 14-OCT-2020",,"158633333","981054667","Reg29(2)","15-Oct-2020, 16-26"
"VIPCLOTHNG","VIP Clothing Limited","Kanishk Sunil Pathare","14-OCT-2020 to 14-OCT-2020","10000",,"275799","Reg29(1)","15-Oct-2020, 16-26"
"HFCL","HFCL Limited","MN Ventures Private Limited","14-OCT-2020 to 14-OCT-2020","2000000",,"263390000","Reg29(2)","14-Oct-2020, 20-24"
"MAHLIFE","Mahindra Lifespace Developers Limited","ICICI Prudential Mutual Fund","13-OCT-2020 to 13-OCT-2020","14376",,"4668377","Reg29(1)","14-Oct-2020, 20-24"
"GMRINFRA","GMR Infrastructure Limited","Vistra ITCL (India) Limited","31-DEC-2019 to 09-OCT-2020",,,"1139688000","Reg29(2)","14-Oct-2020, 16-20"
"MGL","Mahanagar Gas Limited","Schroder Investment Management (Hong Kong) Limited","12-OCT-2020 to 12-OCT-2020",,"202351","2891436","Reg29(2)","14-Oct-2020, 16-18"
"GNA","GNA Axles Limited","Catalyst Trusteeship Ltd","13-OCT-2020 to 13-OCT-2020",,"700000","700000","Reg29(2)","13-Oct-2020, 20-52"
"UJAAS","Ujaas Energy Limited","SVA Family Welfare Trust Trustee Vandana","28-SEP-2020 to 28-SEP-2020",,"5000000","30584560","Reg29(2)","13-Oct-2020, 20-52"
"HFCL","HFCL Limited","MN Ventures Private Limited","13-OCT-2020 to 13-OCT-2020","1500000",,"261390000","Reg29(2)","13-Oct-2020, 18-52"
"VIPCLOTHNG","VIP Clothing Limited","Mr. Kanishk Sunil Pathare Son of Mr. Sunil Jaykumar Pathare","12-OCT-2020 to 12-OCT-2020","23000",,"265799","Reg29(1)","13-Oct-2020, 18-52"
"MGL","Mahanagar Gas Limited","Schroder Investment Management Hong Kong Limited","09-OCT-2020 to 09-OCT-2020",,"83460","3205134","Reg29(2)","13-Oct-2020, 18-30"
"AHLUCONT","Ahluwalia Contracts (India) Limited","Axis Small Cap Fund","09-OCT-2020 to 09-OCT-2020","898054",,"3942363","Reg29(1)","13-Oct-2020, 18-16"
"MFSL","Max Financial Services Limited","IDBI Trusteeship Services Ltd","13-OCT-2020 to 13-OCT-2020","90000",,"7742814","Reg29(2)","13-Oct-2020, 18-12"
"INDSWFTLAB","Ind-Swift Laboratories Limited","IDBI Trusteeship Services Ltd","12-OCT-2020","9499720",,"9499720","Reg29(1)","13-Oct-2020, 18-10"
"SHAKTIPUMP","Shakti Pumps (India) Limited","AFHOLDINGS","09-OCT-2020 to 09-OCT-2020",,"481305","1155058","Reg29(2)","13-Oct-2020, 16-34"
"POLYPLEX","Polyplex Corporation Limited","Ricky Kirpalani along with PAC","18-FEB-2020 to 12-OCT-2020",,"502697","1452782","Reg29(2)","13-Oct-2020, 10-48"
"AHLUCONT","Ahluwalia Contracts (India) Limited","Axis  Small  Cap  Fund  (Scheme  of Axis  Mutual Fund)","09-OCT-2020 to 09-OCT-2020","898054",,"3942363","Reg29(1)","13-Oct-2020, 10-46"
"EVEREADY","Eveready Industries India Limited","Vistra ITCL (India) Limited","26-DEC-2019 to 07-OCT-2020",,"896906","3503094","Reg29(2)","12-Oct-2020, 20-30"
"INDORAMA","Indo Rama Synthetics (India) Limited","Urmila Lohia","06-OCT-2020 to 07-OCT-2020",,"17203292","981226","Reg29(2)","12-Oct-2020, 20-30"
"SHAKTIPUMP","Shakti Pumps (India) Limited","AFHOLDINGS","28-SEP-2020 to 09-OCT-2020",,"481305","1155058","Reg29(2)","12-Oct-2020, 19-30"
"INDORAMA","Indo Rama Synthetics (India) Limited","Mrs Urmila Lohia","06-OCT-2020 to 07-OCT-2020",,"17203292","981226","Reg29(2)","12-Oct-2020, 19-04"
"SILGO","Silgo Retail Limited","Mrs Vanita Chordia","07-OCT-2020 to 07-OCT-2020","75000",,"252000","Reg29(2)","12-Oct-2020, 17-38"
"SILGO","Silgo Retail Limited","Mr Gautam Kumar Chordia along with PAC","07-OCT-2020 to 07-OCT-2020","200000",,"371000","Reg29(2)","12-Oct-2020, 16-50"
"SILGO","Silgo Retail Limited","Mr Nitin Jain along with PAC","07-OCT-2020 to 07-OCT-2020","200000",,"2654700","Reg29(2)","12-Oct-2020, 16-50"
"SILGO","Silgo Retail Limited","Gaurav Chordia along with PAC","07-OCT-2020 to 07-OCT-2020","175000",,"334000","Reg29(2)","12-Oct-2020, 16-48"
"SILGO","Silgo Retail Limited","Mrs Bela Agarwal along with PAC","07-OCT-2020 to 07-OCT-2020","200000",,"2654700","Reg29(2)","12-Oct-2020, 16-48"
"TVSMOTOR","TVS Motor Company Limited","Life Insurance Corporation of India","08-OCT-2020 to 08-OCT-2020","425000",,"24161595","Reg29(1)","12-Oct-2020, 16-46"
"EVEREADY","Eveready Industries India Limited","Babcock Borsig Limited along with PAC","07-OCT-2020 to 07-OCT-2020",,"980000","7484","Reg29(2)","09-Oct-2020, 20-10"
"EVEREADY","Eveready Industries India Limited","Williamson Financial Services Ltd along with PAC","07-OCT-2020 to 07-OCT-2020",,"720000","20000","Reg29(2)","09-Oct-2020, 20-10"
"APOLLOTYRE","Apollo Tyres Limited","Emerald Sage Investment Ltd","07-OCT-2020 to 07-OCT-2020","54000000",,"108000000","Reg29(2)","09-Oct-2020, 19-22"
"ICIL","Indo Count Industries Limited","ELM PARK FUND LIMITED","05-OCT-2020 to 05-OCT-2020","121666",,"9962621","Reg29(2)","09-Oct-2020, 19-18"
"ZEEL","Zee Entertainment Enterprises Limited","Monetary Authority of Singapore","07-OCT-2020 to 07-OCT-2020",,"795770","10953814","Reg29(2)","09-Oct-2020, 19-16"
"ZEEL","Zee Entertainment Enterprises Limited","Government of Singapore","07-OCT-2020 to 07-OCT-2020",,"3388027","24872231","Reg29(2)","09-Oct-2020, 19-16"
"INDIANCARD","Indian Card Clothing Company Limited","Multi Act Industrial Enterprises Limited Mauritius","08-OCT-2020 to 08-OCT-2020","1390000",,"4000066","Reg29(2)","09-Oct-2020, 19-12"
"ELGIEQUIP","Elgi Equipments Limited","Jairam Varadaraj alongwith PAC","02-OCT-2020 to 02-OCT-2020","50554981",,"101109962","Reg29(2)","09-Oct-2020, 18-48"
"APOLLOTYRE","Apollo Tyres Limited","White Iris Investment Ltd","07-OCT-2020 to 07-OCT-2020","54000000",,"108000000","Reg29(2)","09-Oct-2020, 18-44"
"ELECTCAST","Electrosteel Castings Limited","Belgrave Investment Fund","06-OCT-2020 to 06-OCT-2020","675000",,"22017010","Reg29(1)","08-Oct-2020, 23-18"
"SRIPIPES","Srikalahasthi Pipes Limited","Belgrave Investment Fund","07-OCT-2020 to 07-OCT-2020","400000",,"2711651","Reg29(1)","08-Oct-2020, 23-18"
"ANANTRAJ","Anant Raj Limited","Ashok Sarlin HUF","06-OCT-2020 to 06-OCT-2020",,"915260","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Sunaini Sarin","06-OCT-2020 to 06-OCT-2020",,"180500","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Saloni Sarin","06-OCT-2020 to 06-OCT-2020",,"177000","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Roma Sarin","06-OCT-2020 to 06-OCT-2020",,"12942520","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Sharda Sarin","06-OCT-2020 to 06-OCT-2020",,"19268039","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Amit Sarin","06-OCT-2020 to 06-OCT-2020",,"5825389","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Ashim Sarin","06-OCT-2020 to 06-OCT-2020",,"183710","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Raj Kumari HUF","06-OCT-2020 to 06-OCT-2020",,"915260","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Anil Sarin HUF","06-OCT-2020 to 06-OCT-2020",,"915260","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Amar Sarin","06-OCT-2020 to 06-OCT-2020",,"1955407","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Aman Sarin","06-OCT-2020 to 06-OCT-2020",,"3836825","0","Reg29(2)","08-Oct-2020, 22-20"
"ANANTRAJ","Anant Raj Limited","Anil Sarin","06-OCT-2020 to 06-OCT-2020","22953836",,"93801126","Reg29(2)","08-Oct-2020, 22-14"
"ANANTRAJ","Anant Raj Limited","Ashok Sarin","06-OCT-2020 to 06-OCT-2020","24161334",,"94991465","Reg29(2)","08-Oct-2020, 22-14"
"NDRAUTO","Ndr Auto Components Limited","Rohit Relan HUF","06-OCT-2020 to 06-OCT-2020",,"44400","0","Reg29(2)","08-Oct-2020, 19-32"
"NDRAUTO","Ndr Auto Components Limited","Rohit Relan","06-OCT-2020 to 06-OCT-2020","44400",,"315850","Reg29(2)","08-Oct-2020, 19-32"
"INDORAMA","Indo Rama Synthetics (India) Limited","Urmila Lohia","06-OCT-2020 to 07-OCT-2020",,"17199749","984769","Reg29(2)","08-Oct-2020, 19-20"
"INDORAMA","Indo Rama Synthetics (India) Limited","Urmila Lohia","06-OCT-2020 to 07-OCT-2020",,"17199749","984769","Reg29(2)","08-Oct-2020, 19-20"
"CROMPTON","Crompton Greaves Consumer Electricals Limited","J P Morgan Securities PLC Nomura International PLC and UBS AG London Branch along with U S Bank Trustees Limited acting as agent on behalf of the aforementioned lenders","23-SEP-2020 to 23-SEP-2020",,"107741623","0","Reg29(2)","08-Oct-2020, 19-18"
"GOKUL","Gokul Refoils and Solvent Limited","Jashodaben Commodities LLP","05-OCT-2020 to 05-OCT-2020",,,"1300000","Reg29(1)","08-Oct-2020, 17-26"
"GOKUL","Gokul Refoils and Solvent Limited","Kanubhai J Thakkar","05-OCT-2020 to 05-OCT-2020",,,"1606439","Reg29(1)","08-Oct-2020, 17-26"
"GOKUL","Gokul Refoils and Solvent Limited","Profitline Securities Private Limited","05-OCT-2020 to 05-OCT-2020",,,"15761500","Reg29(1)","08-Oct-2020, 08-12"
"GMRINFRA","GMR Infrastructure Limited","Axis Trustee Services Limited","27-APR-2020 to 05-OCT-2020",,,"191880092","Reg29(2)","08-Oct-2020, 08-10"
"GOKUL","Gokul Refoils and Solvent Limited","Profitline Securities Pvt Ltd","05-OCT-2020 to 05-OCT-2020",,,"15761500","Reg29(2)","07-Oct-2020, 23-24"
"GOKUL","Gokul Refoils and Solvent Limited","Dharmendrasinh Balvantsinh Rajput","05-OCT-2020 to 05-OCT-2020",,,"8215579","Reg29(2)","07-Oct-2020, 23-24"
"GOKUL","Gokul Refoils and Solvent Limited","Balvantsinh Chandansinh Rajput","05-OCT-2020 to 05-OCT-2020",,,"24379262","Reg29(2)","07-Oct-2020, 23-24"
"GOKUL","Gokul Refoils and Solvent Limited","Bhikhiben Rajput","05-OCT-2020 to 05-OCT-2020",,,"22717500","Reg29(2)","07-Oct-2020, 22-52"
"GOKUL","Gokul Refoils and Solvent Limited","Bhikhiben Rajput","05-OCT-2020 to 05-OCT-2020",,,"22717500","Reg29(1)","07-Oct-2020, 22-50"
"SEYAIND","Seya Industries Limited","Nippon Life India Trustee Limited","06-OCT-2020 to 06-OCT-2020",,,"1960656","Reg29(2)","07-Oct-2020, 22-44"
"FEL","Future Enterprises Limited","Central Departmental Stores Private Limited","14-SEP-2020 to 01-OCT-2020",,"32766776","197187995","Reg29(2)","07-Oct-2020, 20-12"
"VSTTILLERS","V.S.T Tillers Tractors Limited","T Jayashree and VP Tiruvengadaswamy Trasferor","11-AUG-2020 to 11-AUG-2020",,"77014","0","Reg29(2)","07-Oct-2020, 11-18"
"VSTTILLERS","V.S.T Tillers Tractors Limited","T Jayashree and VP Tiruvengadaswamy Trasferee","11-AUG-2020 to 11-AUG-2020","77014",,"199692","Reg29(2)","07-Oct-2020, 11-18"
"FEL","Future Enterprises Limited","Vistra ITCL (India) Limited","31-JAN-2020 to 01-OCT-2020",,,"105412972","Reg29(2)","07-Oct-2020, 11-16"
"DBCORP","D.B.Corp Limited","Bhawna Agarwal","21-SEP-2020 to 21-SEP-2020","7766",,"208905","Reg29(2)","07-Oct-2020, 11-14"
"NCLIND","NCL Industries Limited","Anuradha Kalidindi","29-SEP-2020 to 30-SEP-2020","5500",,"888473","Reg29(2)","06-Oct-2020, 18-38"
"NCLIND","NCL Industries Limited","Madhavi Penumatsa","29-SEP-2020 to 30-SEP-2020","7000",,"90283","Reg29(2)","06-Oct-2020, 18-38"
"NCLIND","NCL Industries Limited","K Pooja","29-SEP-2020 to 30-SEP-2020","12398",,"1390248","Reg29(2)","06-Oct-2020, 18-38"
"NCLIND","NCL Industries Limited","Kalidindi Roopa","29-SEP-2020 to 30-SEP-2020","5000",,"2242695","Reg29(2)","06-Oct-2020, 18-38"
"NCLIND","NCL Industries Limited","Subba Raju Bhupatiraju","29-SEP-2020 to 30-SEP-2020","500",,"139511","Reg29(2)","06-Oct-2020, 18-38"
"JUSTDIAL","Just Dial Limited","V Krishnan along with PAC","02-SEP-2020 to 30-SEP-2020","1271101",,"21620443","Reg29(2)","06-Oct-2020, 18-34"
"JUSTDIAL","Just Dial Limited","Eshwary Krishnan along with PAC","02-SEP-2020 to 30-SEP-2020","1271101",,"21620443","Reg29(2)","06-Oct-2020, 18-34"
"JUSTDIAL","Just Dial Limited","Anita Mani along with PAC","02-SEP-2020 to 30-SEP-2020","1271101",,"21620443","Reg29(2)","06-Oct-2020, 18-32"
"JUSTDIAL","Just Dial Limited","Ramani Iyer along with PAC","02-SEP-2020 to 30-SEP-2020","1271101",,"21620443","Reg29(2)","06-Oct-2020, 18-30"
"INSECTICID","Insecticides (India) Limited","Sanskar Aggarwal","30-SEP-2020 to 30-SEP-2020","2000000",,"2901800","Reg29(2)","06-Oct-2020, 18-26"
"INSECTICID","Insecticides (India) Limited","Nikunj aggarwal","30-SEP-2020 to 30-SEP-2020","2000000",,"3125000","Reg29(2)","06-Oct-2020, 18-26"
"INSECTICID","Insecticides (India) Limited","Sanskar Aggarwal","30-SEP-2020 to 30-SEP-2020","2000000",,"2901800","Reg29(2)","06-Oct-2020, 18-24"
"INSECTICID","Insecticides (India) Limited","Nikunj Aggarwal","30-SEP-2020 to 30-SEP-2020","2000000",,"3125000","Reg29(2)","06-Oct-2020, 18-24"
"INSECTICID","Insecticides (India) Limited","Rajesh Aggarwal","30-SEP-2020 to 30-SEP-2020",,"4000000","1322120","Reg29(2)","06-Oct-2020, 18-22"
"SUMICHEM","Sumitomo Chemical India Limited","Sumitomo Chemical Company Limited","01-OCT-2020 to 01-OCT-2020",,"16483654","374359302","Reg29(2)","06-Oct-2020, 18-20"
"SATIN","Satin Creditcare Network Limited","M/s. Trishashna Holdings & Investments Private Limited","30-SEP-2020 to 30-SEP-2020","81042",,"15941601","Reg29(2)","06-Oct-2020, 18-18"
"WABAG","VA Tech Wabag Limited","Rekha Rakesh Jhunjhunwala","01-OCT-2020 to 01-OCT-2020",,,"6500000","Reg29(1)","06-Oct-2020, 18-16"
"IBVENTURES","Indiabulls Ventures Limited","Inuus Properties Private Limited along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 18-12"
"IBVENTURES","Indiabulls Ventures Limited","Zelkova Builders Private Limited along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 17-42"
"IBVENTURES","Indiabulls Ventures Limited","Inuus Developers Private Limited along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 17-42"
"KHADIM","Khadim India Limited","Rittick Roy Burman","30-SEP-2020 to 30-SEP-2020","250",,"2730","Reg29(2)","06-Oct-2020, 17-36"
"KHADIM","Khadim India Limited","Rittick Roy Burman","29-SEP-2020 to 29-SEP-2020","1500",,"2480","Reg29(2)","06-Oct-2020, 17-34"
"IBVENTURES","Indiabulls Ventures Limited","Orthia Properties Private Limited along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 17-32"
"IBVENTURES","Indiabulls Ventures Limited","Orthia Constructions Private Limited along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 17-32"
"IBVENTURES","Indiabulls Ventures Limited","Mr Sameer Gehlaut along with PAC","29-SEP-2020 to 29-SEP-2020",,,"174983863","Reg29(2)","06-Oct-2020, 17-30"
"KHADIM","Khadim India Limited","Siddhartha Roy Burman","29-SEP-2020 to 29-SEP-2020","1000",,"1648149","Reg29(2)","06-Oct-2020, 17-28"
"OPTOCIRCUI","Opto Circuits (India) Limited","Mr Jayesh Chandrakant Patel","29-SEP-2020 to 30-SEP-2020",,"326747","8442971","Reg29(2)","05-Oct-2020, 21-38"
"VSTTILLERS","V.S.T Tillers Tractors Limited","V M Vishnu","29-SEP-2020 to 29-SEP-2020","906",,"16056","Reg29(2)","05-Oct-2020, 21-28"
"VSTTILLERS","V.S.T Tillers Tractors Limited","V P Mahendra","29-SEP-2020 to 29-SEP-2020",,"10906","627995","Reg29(2)","05-Oct-2020, 21-26"
"VSTTILLERS","V.S.T Tillers Tractors Limited","Amritha V M Ward","29-SEP-2020 to 29-SEP-2020","10000",,"14330","Reg29(2)","05-Oct-2020, 21-24"
"JUSTDIAL","Just Dial Limited","V S S Mani along with PAC","02-SEP-2020 to 30-SEP-2020","1271101",,"21620443","Reg29(2)","05-Oct-2020, 21-14"
"GENESYS","Genesys International Corporation Limited","Shazia Ilmi Malik","30-SEP-2020 to 30-SEP-2020","1000000",,"1010000","Reg29(2)","05-Oct-2020, 21-10"
"DPABHUSHAN","D. P. Abhushan Limited","Vijit Ramavat","01-OCT-2020 to 01-OCT-2020","8000",,"1116000","Reg29(1)","05-Oct-2020, 21-02"
"MINDACORP","Minda Corporation Limited","Steinberg India Emerging Opportunities Fund Limited","30-SEP-2020 to 30-SEP-2020","515811",,"11615811","Reg29(1)","05-Oct-2020, 20-58"
"GENESYS","Genesys International Corporation Limited","Sajid Siraj Malik","30-SEP-2020 to 30-SEP-2020",,"1000000","510581","Reg29(2)","05-Oct-2020, 20-54"
"CANFINHOME","Can Fin Homes Limited","Caladium Investment Pte Ltd","30-SEP-2020 to 30-SEP-2020",,"174371","15160112","Reg29(2)","05-Oct-2020, 20-52"
"NCLIND","NCL Industries Limited","Ravi Kalidindi","29-SEP-2020 to 30-SEP-2020","8176",,"2554545","Reg29(1)","05-Oct-2020, 20-46"
"OPTOCIRCUI","Opto Circuits (India) Limited","Mr Jayesh Chandrakant Patel","29-SEP-2020 to 30-SEP-2020",,"326747","8442971","Reg29(2)","05-Oct-2020, 20-46"
"SHARDAMOTR","Sharda Motor Industries Limited","Rohit Relan","01-OCT-2020 to 01-OCT-2020","44400",,"326519","Reg29(2)","05-Oct-2020, 20-24"
"SHARDAMOTR","Sharda Motor Industries Limited","Rohit Relan HUF","01-OCT-2020 to 01-OCT-2020",,"44400","0","Reg29(2)","05-Oct-2020, 20-24"
"ACE","Action Construction Equipment Limited","Vijay Agarwal","28-SEP-2020 to 29-SEP-2020","34000",,"42441592","Reg29(2)","05-Oct-2020, 20-20"
"JUSTDIAL","Just Dial Limited","Manasi Iyer along with PAC","02-SEP-2020 to 30-SEP-2020","133975",,"618193","Reg29(2)","05-Oct-2020, 19-44"
"PKTEA","The Peria Karamalai Tea & Produce Company Limited","Placid Limited","30-SEP-2020 to 30-SEP-2020","11776",,"734211","Reg29(2)","05-Oct-2020, 19-32"
"STARCEMENT","Star Cement Limited","Hari Prasad Agarwal alongwith promoter group and PAC","10-SEP-2020 to 29-SEP-2020","4300765","4190765","277032631","Reg29(2)","05-Oct-2020, 18-26"
"MANINDS","Man Industries (India) Limited","Man Finance Pvt Ltd","30-SEP-2020 to 30-SEP-2020","60642",,"3243476","Reg29(2)","05-Oct-2020, 18-24"
"MUKANDLTD","Mukand Limited","Niraj Bajaj alongwith PAC","29-SEP-2020 to 29-SEP-2020",,"13790431","11813930","Reg29(2)","05-Oct-2020, 18-22"
"SOMANYCERA","Somany Ceramics Limited","Ameya Somany","30-SEP-2020 to 30-SEP-2020","30000",,"65000","Reg29(2)","05-Oct-2020, 18-20"
