,comName,shp,totIssuedShares,totPromoterHolding,percPromoterHolding,totPublicHolding,totPromoterShares,percPromoterShares,percTotShares,disclosureFromDate,numSharesPledged,totDematShares,sharesCollateral,nbfcPromoShare,nbfcNonPromoShare,percSharesPledged,broadcastDt,disclosureToDate,compBroadcastDate
992,Kothari Products Limited,30-Sep-2020,29843865,22380155,    74.99,7463710,0,     0.00,     0.00,,143581,29570483,0,0,0,0.49,23-Nov-2020 11:30:16,,
993,City Union Bank Limited,30-Sep-2020,738401079,0,     0.00,738401079,0,,     0.00,,9165168,722190576,0,0,0,1.27,23-Nov-2020 11:30:16,,
994,The South Indian Bank Limited,30-Sep-2020,1809722151,0,     0.00,1809722151,0,,     0.00,,167526660,1735215524,0,0,0,9.65,23-Nov-2020 11:30:16,,
995,Archies Limited,30-Sep-2020,33780000,20941447,    61.99,12838553,0,     0.00,     0.00,,1038258,33595464,0,0,0,3.09,23-Nov-2020 11:30:16,,
996,AstraZeneca Pharma India Limited,30-Sep-2020,25000000,18750000,    75.00,6250000,0,     0.00,     0.00,,424619,24778663,0,0,0,1.71,23-Nov-2020 11:30:16,,
997,ITD Cementation India Limited,30-Sep-2020,171787584,80113180,    46.64,91674404,0,     0.00,     0.00,,3240002,171083119,0,0,0,1.89,23-Nov-2020 11:30:16,,
998,Punjab Chemicals & Crop Protection Limited,30-Sep-2020,12262185,4808890,    39.22,7453295,0,     0.00,     0.00,,3531020,12144064,0,0,0,29.08,23-Nov-2020 11:30:16,,28-08-2015
999,Mirza International Limited,30-Sep-2020,120306000,84760241,    70.45,35545759,0,     0.00,     0.00,,4667313,119790405,0,0,0,3.9,23-Nov-2020 11:30:16,,
1000,Electrotherm (India) Limited,30-Sep-2020,12742814,3990325,    31.31,8752489,300000,     7.52,     2.35,,1447175,11632157,0,0,0,12.44,23-Nov-2020 11:30:16,,
1001,Dynamatic Technologies Limited,30-Sep-2020,6341443,3093245,    48.78,3248198,475500,    15.37,     7.50,,549078,6276821,0,0,0,8.75,23-Nov-2020 11:30:16,,30-09-2013
1002,Gujarat NRE Coke Limited,30-Jun-2018,1604548645,406914064,    25.36,1197634581,200915089,    49.38,    12.52,,209661039,1601488176,0,0,0,13.09,23-Nov-2020 11:30:16,,31-07-2013
1003,Gujarat Apollo Industries Limited,30-Sep-2020,12661915,7141651,    56.40,5520264,0,     0.00,     0.00,,153629,12481876,0,0,0,1.23,23-Nov-2020 11:30:16,,
1004,Ganesh Housing Corporation Limited,30-Sep-2020,49227090,26762084,    54.36,22465006,1111500,     4.15,     2.26,,2863776,48900157,0,0,0,5.86,23-Nov-2020 11:30:16,,27-07-2016
1005,MM Forgings Limited,30-Sep-2020,24140800,13599890,    56.34,10540910,0,     0.00,     0.00,,103022,23708630,0,0,0,0.43,23-Nov-2020 11:30:16,,
1006,Jagsonpal Pharmaceuticals Limited,30-Sep-2020,26198000,18427414,    70.34,7770586,0,     0.00,     0.00,,126795,25928519,0,0,0,0.49,23-Nov-2020 11:30:16,,
1007,JMC Projects (India)  Limited,30-Sep-2020,167905170,113757395,    67.75,54147775,0,     0.00,     0.00,,1053997,167685905,0,0,0,0.63,23-Nov-2020 11:30:16,,
1008,Alkyl Amines Chemicals Limited,30-Sep-2020,20410006,15132788,    74.14,5277218,0,     0.00,     0.00,,183343,20036910,0,0,0,0.92,23-Nov-2020 11:30:16,,
1009,Johnson Controls - Hitachi Air Conditioning India Limited,30-Sep-2020,27190884,20190529,    74.25,7000355,0,     0.00,     0.00,,99230,26921427,0,0,0,0.37,23-Nov-2020 11:30:16,,
1010,MphasiS Limited,30-Sep-2020,186622497,104802097,    56.16,81820400,0,     0.00,     0.00,,507340,186590388,0,0,0,0.27,23-Nov-2020 11:30:16,,29-06-2017
1011,SKIL Infrastructure Limited,30-Sep-2020,216571232,149692503,    69.12,66878729,107689937,    71.94,    49.72,,113111293,216568614,0,0,0,52.23,23-Nov-2020 11:30:16,,31-03-2015
1012,Gujarat Raffia Industries Limited,30-Sep-2020,5404500,2121685,    39.26,3282815,0,     0.00,     0.00,,8715,3259003,0,0,0,0.27,23-Nov-2020 11:30:16,,
1013,Gammon India Limited,31-Mar-2020,369573105,42657154,    11.54,326915951,36153699,    84.75,     9.78,,38653318,361208505,0,0,0,10.7,23-Nov-2020 11:30:16,,31-03-2017
1014,Ruchi Infrastructure Limited,30-Sep-2020,205239942,137260984,    66.88,67978958,0,     0.00,     0.00,,754754,166308742,0,0,0,0.45,23-Nov-2020 11:30:16,,28-08-2015
1015,Atlas Cycles (Haryana) Limited,30-Sep-2020,6503838,2739500,    42.12,3764338,0,     0.00,     0.00,,176725,6215394,0,0,0,2.84,23-Nov-2020 11:30:16,,
1016,Ramco Industries Limited,30-Sep-2020,86663060,46819821,    54.03,39843239,3830000,     8.18,     4.42,,5446027,84677960,0,0,0,6.43,23-Nov-2020 11:30:16,,27-12-2016
1017,Kothari Petrochemicals Limited,30-Sep-2020,58846400,41772005,    70.98,17074395,0,     0.00,     0.00,,961088,57394468,0,0,0,1.67,23-Nov-2020 11:30:16,,
1018,Heritage Foods Limited,30-Sep-2020,46398000,18512392,    39.90,27885608,0,     0.00,     0.00,,1542897,45775900,0,0,0,3.37,23-Nov-2020 11:30:16,,
1019,Bank Of Baroda,30-Sep-2020,4620566586,3308184689,    71.60,1312381897,0,     0.00,     0.00,,50699999,4584301066,0,0,0,1.11,23-Nov-2020 11:30:16,,
1020,Mahanagar Telephone Nigam Limited,30-Sep-2020,630000000,361418134,    57.37,268581866,0,     0.00,     0.00,,11729075,629925539,0,0,0,1.86,23-Nov-2020 11:30:15,,
1021,MRF Limited,30-Sep-2020,4241143,1182170,    27.87,3058973,400,     0.03,     0.01,,37719,3159105,0,0,0,1.19,23-Nov-2020 11:30:15,30-Sep-2020,28-01-2020
1022,The Andhra Sugars Limited,30-Sep-2020,27107078,12749407,    47.03,14357671,286624,     2.25,     1.06,,2256009,14591400,0,0,0,15.46,23-Nov-2020 11:30:15,,
1023,Tamilnadu PetroProducts Limited,30-Sep-2020,89971474,31078126,    34.54,58893348,0,     0.00,     0.00,,5626584,84047934,0,0,0,6.69,23-Nov-2020 11:30:15,,17-12-2013
1024,TTK Prestige Limited,30-Sep-2020,13861402,9759607,    70.41,4101795,,,,,30591,13735926,0,0,0,0.22,23-Nov-2020 11:30:15,,22-12-2017
1025,Star Paper Mills Limited,30-Sep-2020,15608350,7050444,    45.17,8557906,3348858,    47.50,    21.46,,4106411,15512704,0,0,0,26.47,23-Nov-2020 11:30:15,,29-10-2019
1026,Spentex Industries Limited,30-Sep-2019,89772035,37797226,    42.10,51974809,37797226,   100.00,    42.10,,38177484,88688162,0,0,0,43.05,23-Nov-2020 11:30:15,,26-08-2015
1027,Sanghi Industries Limited,30-Sep-2020,251000000,176530619,    70.33,74469381,162745625,    92.19,    64.84,,112432792,251000000,0,0,0,44.79,23-Nov-2020 11:30:15,,30-08-2018
1028,SKF India Limited,30-Sep-2020,49437963,25992059,    52.58,23445904,0,     0.00,     0.00,,335748,48883438,0,0,0,0.69,23-Nov-2020 11:30:15,,
1029,SBI Home Finance Limited,31-Mar-2009,15000000,3900000,    26.00,11100000,0,     0.00,     0.00,,40466,13530682,0,0,0,0.3,23-Nov-2020 11:30:15,,
1030,S. Kumars Nationwide Limited,30-Sep-2015,297403377,10682934,     3.59,286720443,8686250,    81.31,     2.92,,11848089,296620873,0,0,0,3.99,23-Nov-2020 11:30:15,,26-07-2013
1031,Mohota Industries Limited,30-Sep-2020,14707092,6238791,    42.42,8468301,1563863,    25.07,    10.63,,3307798,14574656,0,0,0,22.7,23-Nov-2020 11:30:15,,28-10-2017
1032,Ausom Enterprise Limited,30-Sep-2020,13623552,10040000,    73.70,3583552,0,     0.00,     0.00,,144989,12693879,0,0,0,1.14,23-Nov-2020 11:30:15,,
1033,Eimco Elecon (India) Limited,30-Sep-2020,5768385,4271795,    74.06,1496590,676000,    15.82,    11.72,,289568,5696929,0,0,0,5.08,23-Nov-2020 11:30:15,,30-09-2019
1034,Panacea Biotec Limited,30-Sep-2020,61250746,45074866,    73.59,16175880,31262112,    69.36,    51.04,,32137910,61032495,0,0,0,52.66,23-Nov-2020 11:30:15,,30-04-2019
1035,Jayant Agro Organics Limited,30-Sep-2020,30000000,19906590,    66.36,10093410,0,     0.00,     0.00,,339739,28478127,0,0,0,1.19,23-Nov-2020 11:30:15,,
1036,Alps Industries Limited,30-Sep-2020,39114100,10586018,    27.06,28528082,4019018,    37.97,    10.28,,4625545,39042546,0,0,0,11.85,23-Nov-2020 11:30:15,,21-04-2017
1037,Cubex Tubings Limited,30-Sep-2020,14318975,6360304,    44.42,7958671,0,     0.00,     0.00,,59988,13672194,0,0,0,0.44,23-Nov-2020 11:30:15,,
1038,Marico Limited,30-Sep-2020,1291230848,770749530,    59.69,520481318,0,     0.00,     0.00,,3619517,1290558790,0,0,0,0.28,23-Nov-2020 11:30:15,,
1039,SIL Investments Limited,30-Sep-2020,10595860,6649369,    62.75,3946491,0,     0.00,     0.00,,161030,10377922,0,0,0,1.55,23-Nov-2020 11:30:15,,
1040,Sambhaav Media Limited,30-Sep-2020,191110840,120265982,    62.93,70844858,0,     0.00,     0.00,,5066300,186716690,0,0,0,2.71,23-Nov-2020 11:30:15,,
1041,Regency Ceramics Limited,30-Sep-2020,26441586,16021125,    60.59,10420461,4687159,    29.26,    17.73,,2669073,22821239,0,0,0,11.7,23-Nov-2020 11:30:15,,
1042,Biofil Chemicals & Pharmaceuticals Limited,30-Sep-2020,16273800,7618760,    46.82,8655040,0,     0.00,     0.00,,50776,15185790,0,0,0,0.33,23-Nov-2020 11:30:15,,
1043,Eastern Sug & Inds Limited,30-Sep-2020,29150100,1593039,     5.46,27557061,115000,     7.22,     0.39,,31115,14065700,0,0,0,0.22,23-Nov-2020 11:30:15,,
1044,Norben Tea & Exports Limited,30-Sep-2020,11750000,6044759,    51.44,5705241,0,     0.00,     0.00,,30708,9242194,0,0,0,0.33,23-Nov-2020 11:30:15,,
1045,Keynote Financial Services Limited,30-Sep-2020,7018339,4062218,    57.88,2956121,0,     0.00,     0.00,,21449,6894130,0,0,0,0.31,23-Nov-2020 11:30:15,,
1046,International Constructions Limited,30-Sep-2020,3633960,2725470,    75.00,908490,0,     0.00,     0.00,,0,3591400,0,0,0,0,23-Nov-2020 11:30:15,,
1047,Zenith Exports Limited,30-Sep-2020,5396250,2792556,    51.75,2603694,0,     0.00,     0.00,,51547,5364635,0,0,0,0.96,23-Nov-2020 11:30:15,,
1048,Sundaram Brake Linings Limited,30-Sep-2020,3934575,2578784,    65.54,1355791,0,     0.00,     0.00,,42048,3846335,0,0,0,1.09,23-Nov-2020 11:30:15,,
1049,Sangam (India) Limited,30-Sep-2020,39421559,21682401,    55.00,17739158,0,     0.00,     0.00,,1365853,39297568,0,0,0,3.48,23-Nov-2020 11:30:15,,
1050,Motherson Sumi Systems Limited,30-Sep-2020,3157934237,1949286546,    61.73,1208647691,208426512,    10.69,     6.60,,209255917,3148012638,0,0,0,6.65,23-Nov-2020 11:30:15,30-Sep-2020,30-09-2014
1051,Soma Textiles & Industries Limited,30-Sep-2020,33033000,21035017,    63.68,11997983,2500000,    11.88,     7.57,,2748798,32526554,0,0,0,8.45,23-Nov-2020 11:30:15,,24-10-2016
1052,Visaka Industries Limited,30-Sep-2020,16080952,7156182,    44.50,8924770,711000,     9.94,     4.42,,2359950,15811794,0,0,0,14.93,23-Nov-2020 11:30:15,,28-08-2018
1053,Aarti Drugs Limited,30-Sep-2020,23300000,14028200,    60.21,9271800,0,     0.00,     0.00,,2793239,91833809,0,0,0,3.04,23-Nov-2020 11:30:15,,
1054,Sterling Tools Limited,30-Sep-2020,36024211,23693030,    65.77,12331181,0,     0.00,     0.00,,126493,35923114,0,0,0,0.35,23-Nov-2020 11:30:15,,
